"Sr.No.","Title","Total Stock","Sales","Stock","Unit Price"
"62","Fitter 2nd Year Practical - Hindi - Revised NSQF LEVEL 4 (1200)","20","11","9","305"
"63","Foundryman Practical - Hindi - Revised NSQF LEVEL 3 (1200)","10","1","9","280"
"64","Foundryman Theory Hindi - Revised NSQF LEVEL 3 (1200)","10","1","9","330"
"65","Health Sanitary Inspector Practical - Hindi - Revised NSQF LEVEL 3 (1200)","10","0","10","320"
"66","Health Sanitary Inspector Theory Hindi - Revised NSQF LEVEL 3 (1200)","10","0","10","250"
"67","Instrument Mechanic 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200)","10","2","8","435"
"68","Instrument Mechanic 1st Year Theory - Hindi - Revised NSQF LEVEL 4 (1200)","10","2","8","425"
"69","Instrument Mechanic 2nd Year Practical Hindi Revised NSQF LEVEL 4 (1200)","10","2","8","395"
"70","Instrument Mechanic 2nd Year Theory - Hindi - Revised NSQF LEVEL 4 (1200)","10","2","8","345"
"71","ICTSM 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200)","20","10","10","440"
"72","ICTSM 1st Year Theory - Hindi - Revised NSQF LEVEL 4 (1200)","20","10","10","410"
"73","Machinist 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200)","20","5","15","300"
"74","Machinist 1st Year Theory - Hindi - Revised NSQF LEVEL 4 (1200)","20","6","14","360"
"75","Machinist 2nd Year Practical - Hindi - Revised NSQF LEVEL 4 (1200)","20","5","15","420"
"76","Machinist 2nd Year Theory - Hindi - Revised NSQF LEVEL 4 (1200)","20","5","15","400"
"77","Mechanic Diesel Theory - Hindi - Revised NSQF LEVEL 3 (1200)","10","1","9","380"
"78","Mechanic Diesel Practical - Hindi Revised NSQF LEVEL 3 (1200)","10","1","9","305"
"79","Mechanic Auto Electrical & Electronics Practical - Hindi Revised NSQF LEVEL 3 (1200)","10","0","10","280"
"80","Mechanic Auto Electrical & Electronics Theory - Hindi Revised NSQF LEVEL 3 (1200)","10","0","10","340"
"81","Machinist Grinder 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200)","10","2","8","325"
"82","Mechanic Auto Body Painting Practical - Hindi - Revised NSQF LEVEL 3 (1200)","10","0","10","245"
"83","Mechanic Auto Body Painting Theory Hindi - Revised NSQF LEVEL 3 (1200)","10","0","10","270"
"84","Mechanic Auto Body Repair Theory - Hindi - Revised NSQF LEVEL 3 (1200)","10","0","10","330"
"85","MMV 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200)","20","12","8","280"
"86","MMV 1st Year Theory - Hindi - Revised NSQF LEVEL 4 (1200)","20","11","9","300"
"87","MMV 2nd Year Practical - Hindi - Revised NSQF LEVEL 4 (1200)","20","11","9","275"
"88","MMV 2nd Year Theory - Hindi - Revised NSQF LEVEL 4 (1200)","20","10","10","305"
"89","Mechanic Two & Three Wheeler Practical - Hindi Revised NSQF LEVEL 3 (1200)","20","0","20","335"
"90","Plumber Theory - Hindi Revised NSQF LEVEL 3 (1200)","20","6","14","365"
"91","Plumber Practical Hindi - Revised NSQF LEVEL 3 (1200)","10","5","5","310"
"92","Painter (General) 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200)","10","3","7","415"
"93","Physiotherapy Technician Theory - Hindi - Revised NSQF LEVEL 3 (1200)","10","0","10","145"
"94","Refrigeration & Air Conditioning Technician 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200)","20","9","11","325"
"95","Refrigeration & Air Conditioning Technician 1st Year Theory - Hindi - Revised NSQF LEVEL 4 (1200)","20","11","9","395"
"96","Refrigeration & Air Conditioning Technician 2nd Year Practical - Hindi - Revised NSQF LEVEL 4 (1200)","20","11","9","390"
"97","Refrigeration & Air Conditioning Technician 2nd Year Theory - Hindi - Revised NSQF LEVEL 4 (1200)","20","10","10","355"
"98","Solar Technician (Electrical) Practical Hindi - Revised NSQF LEVEL 3 (1200)","10","0","10","365"
"99","Sheet Metal Worker Practical - Hindi Revised NSQF LEVEL 3 (1200)","10","0","10","450"
"100","Sheet Metal Worker Theory - Hindi - Revised NSQF LEVEL 3 (1200)","10","0","10","390"
"101","Surface Ornamentation Techniques (Embroidery) Practical - Hindi - Revised NSQF LEVEL 3 (1200)","10","3","7","285"
"102","Surface Ornamentation Techniques (Embroidery) Theory - Hindi - Revised NSQF LEVEL 3 (1200)","10","3","7","180"
"103","Stenographer Secretarial Assistant (Hindi) Practical - Hindi - Revised NSQF LEVEL 3 (1200)","10","1","9","270"
"104","Stenographer Secretarial Assistant (Hindi) Theory - Hindi Revised NSQF LEVEL 3 (1200)","10","1","9","240"
"105","Sewing Technology Practical - Hindi - Revised NSQF LEVEL 3 (1200)","20","4","16","385"
"106","Sewing Technology Theory - Hindi Revised NSQF LEVEL 3 (1200)","20","4","16","255"
"107","Surveyor 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200)","10","1","9","275"
"108","TDM(Dies&Moulds) (Common for TDM (PT)&F) 1st Year Practical -Hindi- Revised NSQF LEVEL 4 (1200)","10","0","10","415"
"109","TDM(Dies&Moulds) (Common for TDM (PT)&F) 1st Year Theory -Hindi- Revised NSQF LEVEL 4 (1200)","10","0","10","450"
"110","Turner 1st Year Practical - Hindi Revised NSQF LEVEL 4 (1200)","10","2","8","275"
"111","Turner 1st Year Theory - Hindi - Revised NSQF LEVEL 4 (1200)","20","4","16","355"
"112","Welder Practical - Hindi Revised NSQF LEVEL 3 (1200)","20","10","10","345"
"113","Welder Theory Hindi - Revised NSQF LEVEL 3 (1200)","20","10","10","290"
"114","Wireman 1st Year Theory - Hindi - Revised NSQF LEVEL 4 (1200)","20","10","10","455"
"115","Wireman 2nd Year Practical Hindi Revised NSQF LEVEL 4 (1200)","20","0","20","290"
"116","Wireman 2nd Year Theory Hindi - Revised NSQF LEVEL 4 (1200)","20","8","12","220"
"117","Fitter 2nd Year Theory - Hindi - Revised NSQF LEVEL 4 (1200)","20","13","7","340"
"118","CITS - Dress Making Trade Practical (Vol - I) (Hand Book) - Hindi - NSQF LEVEL 3.5","10","0","10","440"
"119","CITS - Dress Making Trade Practical (Vol - II) (Hand Book) - Hindi - NSQF LEVEL 3.5","10","0","10","275"
"120","CITS - Dress Making Trade Theory (Hand Book) - Hindi - NSQF LEVEL 3.5","10","0","10","365"
"121","CITS - Sewing Technology Trade Practical (Vol - I) (Hand Book) - Hindi - NSQF LEVEL 3.5","10","0","10","435"
"122","CITS - Sewing Technology Trade Practical (Vol - II) (Hand Book) - Hindi - NSQF LEVEL 3.5","10","0","10","480"
"123","CITS - Sewing Technology Trade Theory (Hand Book) - Hindi - NSQF LEVEL 3.5","10","0","10","485"
"124","CITS - Training Methodology - Hindi - Revised NSQF LEVEL 5","20","0","20","405"
"125","Electrician 1st Year Wall Charts - English","1","0","1","1870"
"126","Electrician 2nd Year Theory - Hindi - Revised NSQF LEVEL 4 (1200)","10","0","10","370"
"127","Mechanic Two & Three Wheeler Theory - Hindi - Revised NSQF LEVEL 3 (1200)","10","0","10","350"
"128","MMV 1st Year Wall Charts - English","1","0","1","1870"
"129","Surveyor 1st Year Theory - Hindi - Revised NSQF LEVEL 4 (1200)","10","0","10","330"
"130","Surveyor 2nd Year Practical - Hindi - Revised NSQF LEVEL 4 (1200)","10","0","10","215"
"131","Turner 2nd Year Practical - Hindi - Revised NSQF LEVEL 4 (1200)","10","0","10","245"
"132","Turner 2nd Year Theory - Hindi - Revised NSQF LEVEL 4 (1200)","10","0","10","320"
"133","Welder Wall Chart (English)","1","0","1","1870"
"134","Wireman 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200)","10","0","10","415"
