Sr.No.,Title,Unit Price,Total Stock,Sold,Remaining
66,Health Sanitary Inspector Theory Hindi - Revised NSQF LEVEL 3 (1200),250,10,0,10
67,Instrument Mechanic 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),435,10,2,8
68,Instrument Mechanic 1st Year Theory - Hindi - Revised NSQF LEVEL 4 (1200),425,10,2,8
69,Instrument Mechanic 2nd Year Practical Hindi Revised NSQF LEVEL 4 (1200),395,10,2,8
70,Instrument Mechanic 2nd Year Theory - Hindi - Revised NSQF LEVEL 4 (1200),345,10,2,8
71,ICTSM 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),440,20,10,10
72,ICTSM 1st Year Theory - Hindi - Revised NSQF LEVEL 4 (1200),410,20,10,10
73,Machinist 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),300,20,5,15
74,Machinist 1st Year Theory - Hindi - Revised NSQF LEVEL 4 (1200),360,20,6,14
75,Machinist 2nd Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),420,20,5,15
76,Machinist 2nd Year Theory - Hindi - Revised NSQF LEVEL 4 (1200),400,20,5,15
77,Mechanic Diesel Theory - Hindi - Revised NSQF LEVEL 3 (1200),380,10,4,6
78,Mechanic Diesel Practical - Hindi Revised NSQF LEVEL 3 (1200),305,10,4,6
79,Mechanic Auto Electrical & Electronics Practical - Hindi Revised NSQF LEVEL 3 (1200),280,10,0,10
80,Mechanic Auto Electrical & Electronics Theory - Hindi Revised NSQF LEVEL 3 (1200),340,10,0,10
81,Machinist Grinder 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),325,10,2,8
82,Mechanic Auto Body Painting Practical - Hindi - Revised NSQF LEVEL 3 (1200),245,10,0,10
83,Mechanic Auto Body Painting Theory Hindi - Revised NSQF LEVEL 3 (1200),270,10,0,10
84,Mechanic Auto Body Repair Theory - Hindi - Revised NSQF LEVEL 3 (1200),330,10,0,10
85,MMV 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),280,20,14,6
86,MMV 1st Year Theory - Hindi - Revised NSQF LEVEL 4 (1200),300,20,12,8
87,MMV 2nd Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),275,20,12,8
88,MMV 2nd Year Theory - Hindi - Revised NSQF LEVEL 4 (1200),305,20,10,10
89,Mechanic Two & Three Wheeler Practical - Hindi Revised NSQF LEVEL 3 (1200),335,20,0,20
90,Plumber Theory - Hindi Revised NSQF LEVEL 3 (1200),365,20,6,14
91,Plumber Practical Hindi - Revised NSQF LEVEL 3 (1200),310,10,5,5
92,Painter (General) 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),415,10,5,5
93,Physiotherapy Technician Theory - Hindi - Revised NSQF LEVEL 3 (1200),145,10,0,10
94,Refrigeration & Air Conditioning Technician 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),325,20,12,8
95,Refrigeration & Air Conditioning Technician 1st Year Theory - Hindi - Revised NSQF LEVEL 4 (1200),395,20,15,5
96,Refrigeration & Air Conditioning Technician 2nd Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),390,20,14,6
97,Refrigeration & Air Conditioning Technician 2nd Year Theory - Hindi - Revised NSQF LEVEL 4 (1200),355,20,14,6
98,Solar Technician (Electrical) Practical Hindi - Revised NSQF LEVEL 3 (1200),365,10,0,10
99,Sheet Metal Worker Practical - Hindi Revised NSQF LEVEL 3 (1200),450,10,0,10
100,Sheet Metal Worker Theory - Hindi - Revised NSQF LEVEL 3 (1200),390,10,0,10
101,Surface Ornamentation Techniques (Embroidery) Practical - Hindi - Revised NSQF LEVEL 3 (1200),285,10,3,7
102,Surface Ornamentation Techniques (Embroidery) Theory - Hindi - Revised NSQF LEVEL 3 (1200),180,10,3,7
103,Stenographer Secretarial Assistant (Hindi) Practical - Hindi - Revised NSQF LEVEL 3 (1200),270,10,1,9
104,Stenographer Secretarial Assistant (Hindi) Theory - Hindi Revised NSQF LEVEL 3 (1200),240,10,1,9
105,Sewing Technology Practical - Hindi - Revised NSQF LEVEL 3 (1200),385,20,4,16
106,Sewing Technology Theory - Hindi Revised NSQF LEVEL 3 (1200),255,20,4,16
107,Surveyor 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),275,10,3,7
108,TDM(Dies&Moulds) (Common for TDM (PT)&F) 1st Year Practical -Hindi- Revised NSQF LEVEL 4 (1200),415,10,0,10
109,TDM(Dies&Moulds) (Common for TDM (PT)&F) 1st Year Theory -Hindi- Revised NSQF LEVEL 4 (1200),450,10,0,10
110,Turner 1st Year Practical - Hindi Revised NSQF LEVEL 4 (1200),275,10,2,8
111,Turner 1st Year Theory - Hindi - Revised NSQF LEVEL 4 (1200),355,20,4,16
112,Welder Practical - Hindi Revised NSQF LEVEL 3 (1200),345,20,14,6
113,Welder Theory Hindi - Revised NSQF LEVEL 3 (1200),290,20,16,4
114,Wireman 1st Year Theory - Hindi - Revised NSQF LEVEL 4 (1200),455,20,11,9
115,Wireman 2nd Year Practical Hindi Revised NSQF LEVEL 4 (1200),290,20,11,9
116,Wireman 2nd Year Theory Hindi - Revised NSQF LEVEL 4 (1200),220,20,9,11
117,Fitter 2nd Year Theory - Hindi - Revised NSQF LEVEL 4 (1200),340,20,16,4
118,CITS - Dress Making Trade Practical (Vol - I) (Hand Book) - Hindi - NSQF LEVEL 3.5,440,10,0,10
119,CITS - Dress Making Trade Practical (Vol - II) (Hand Book) - Hindi - NSQF LEVEL 3.5,275,10,0,10
120,CITS - Dress Making Trade Theory (Hand Book) - Hindi - NSQF LEVEL 3.5,365,10,0,10
121,CITS - Sewing Technology Trade Practical (Vol - I) (Hand Book) - Hindi - NSQF LEVEL 3.5,435,10,0,10
122,CITS - Sewing Technology Trade Practical (Vol - II) (Hand Book) - Hindi - NSQF LEVEL 3.5,480,10,0,10
123,CITS - Sewing Technology Trade Theory (Hand Book) - Hindi - NSQF LEVEL 3.5,485,10,0,10
124,CITS - Training Methodology - Hindi - Revised NSQF LEVEL 5,405,20,2,18
125,Electrician 1st Year Wall Charts - English,1870,1,0,1
126,Electrician 2nd Year Theory - Hindi - Revised NSQF LEVEL 4 (1200),370,10,3,7
127,Mechanic Two & Three Wheeler Theory - Hindi - Revised NSQF LEVEL 3 (1200),350,10,0,10
128,MMV 1st Year Wall Charts - English,1870,1,0,1
129,Surveyor 1st Year Theory - Hindi - Revised NSQF LEVEL 4 (1200),330,10,0,10
130,Surveyor 2nd Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),215,10,2,8
131,Turner 2nd Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),245,10,0,10
132,Turner 2nd Year Theory - Hindi - Revised NSQF LEVEL 4 (1200),320,10,0,10
133,Wireman 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),290,10,1,9
134,Welder Wall Chart (English),1870,1,0,1
